,company,cap,closing_price,sma,sma100,sma50,sma20,sma10,ema%,sma%,PE_ratio,ball,rsi,stoch,super_trend
12,ESABINDIA,mid_cap,4920.5,5939.36,5911.12,5657.28,5111.09,4977.41,-16.454659629435543,-20.70646783863434,45.32,buy,buy,buy,probability to fall more
70,KAMDHENU,small_cap,39.11,473.14,415.29,305.0,42.66,40.62,-795.8222973087591,-1109.7711582715415,18.85,buy,buy,buy,probability to fall more
85,REMSONSIND,small_cap,113.25,366.9,166.1,144.51,128.97,120.49,-83.34645626142232,-223.97086092715247,28.71,hold,buy,buy,probability to fall more
63,BIGBLOC,small_cap,80.46,178.2,111.38,100.46,88.76,83.9,-51.839608734550424,-121.47495650012436,58.51,buy,buy,buy,probability to fall more
48,AHL,small_cap,192.5,413.35,337.19,283.13,221.22,205.17,-68.68780442777594,-114.72623376623376,9.12,buy,buy,buy,probability to fall more
52,HARDWYN,small_cap,16.79,31.66,32.99,29.13,21.99,17.7,-79.80861840976303,-88.56134603930926,60.87,buy,buy,buy,probability to fall more
88,LOYALTEX,small_cap,321.7,570.3,554.41,517.03,483.79,452.21,-67.02195589443338,-77.27789866335081,0.0,buy,buy,buy,probability to fall more
81,DENORA,small_cap,840.4,1471.02,1287.28,1185.89,1056.75,986.84,-50.476450917564506,-75.03852332222745,116.06,buy,buy,buy,probability to fall more
19,BARBEQUE,small_cap,311.4,539.97,514.47,434.06,365.14,335.62,-53.18292148205743,-73.40221579961467,0.0,buy,buy,buy,probability to fall more
50,PENINLAND,small_cap,33.91,54.85,47.32,43.89,38.75,36.48,-37.61493230014879,-61.75154821586565,19.41,buy,buy,buy,probability to fall more
92,PNC,small_cap,39.67,62.2,58.84,53.49,43.42,41.23,-40.95859602268686,-56.7887572472902,38.81,buy,buy,buy,probability to fall more
40,SUBEXLTD,small_cap,17.86,26.92,23.65,22.01,19.42,18.47,-31.547717122074687,-50.746920492721074,0.0,buy,buy,buy,probability to fall more
9,SANGHIIND,small_cap,56.21,84.16,74.66,66.69,59.38,59.46,-29.317021037638064,-49.72522682796643,0.0,buy,buy,buy,probability to fall more
53,ONWARDTEC,small_cap,259.15,382.15,342.48,311.95,284.46,262.43,-29.69221293556627,-47.46353463245228,25.07,buy,buy,buy,probability to fall more
73,DPWIRES,small_cap,279.75,411.78,374.01,341.9,308.04,293.2,-30.079786344040066,-47.197408400357595,14.84,buy,buy,buy,probability to fall more
57,AVADHSUGAR,small_cap,416.75,610.44,594.11,513.11,441.72,429.36,-32.56207024478251,-46.477204559088214,10.04,buy,buy,buy,probability to fall more
68,DBOL,small_cap,88.78,129.42,125.07,112.64,99.46,93.8,-33.64087273505611,-45.77737102951113,57.01,buy,buy,buy,probability to fall more
58,ATL,small_cap,31.58,45.49,39.19,36.94,33.19,32.16,-24.657143044407594,-44.05208993033568,20.42,buy,buy,buy,probability to fall more
31,BHARATWIRE,small_cap,176.47,248.19,228.47,211.34,189.64,183.92,-26.14756608519615,-40.64305547685161,14.8,buy,buy,buy,probability to fall more
46,PUNJABCHEM,small_cap,814.85,1145.89,1064.12,999.16,929.12,874.48,-27.91597223068123,-40.62545253727686,29.32,buy,buy,buy,probability to fall more
44,NDTV,small_cap,138.88,193.27,168.31,160.18,147.81,142.42,-21.657539221239155,-39.16114631336406,0.0,buy,buy,buy,probability to fall more
47,ACLGATI,small_cap,70.96,98.18,94.18,86.03,75.6,72.28,-26.848966147264957,-38.35336809470126,0.0,buy,buy,buy,probability to fall more
60,CENTRUM,small_cap,26.23,36.22,33.39,32.78,29.9,28.16,-26.473514203740045,-38.06976744186043,0.0,buy,buy,buy,probability to fall more
28,RISHABH,small_cap,279.6,384.58,342.6,329.97,299.16,289.03,-22.349116297882624,-37.546852646638065,66.01,buy,buy,buy,probability to fall more
42,BUTTERFLY,small_cap,614.05,839.12,830.98,754.87,687.13,642.92,-28.872677386663558,-36.65405911570721,0.0,buy,buy,buy,probability to fall more
75,ENIL,small_cap,153.41,209.02,186.44,173.53,160.18,154.84,-20.78079451489382,-36.250016296199675,31.16,buy,buy,buy,probability to fall more
30,HIL,small_cap,1969.4,2671.35,2565.15,2376.53,2147.3,2040.76,-25.809358205682408,-35.64263227378901,30.0,buy,buy,buy,probability to fall more
55,NGLFINE,small_cap,1581.2,2137.39,1892.54,1790.26,1684.27,1674.92,-19.387084035200587,-35.17489881102967,24.01,buy,buy,buy,probability to fall more
43,HARIOMPIPE,small_cap,456.5,615.64,581.87,520.51,487.45,470.48,-22.432815348010347,-34.86089813800655,24.25,buy,buy,buy,probability to fall more
22,UNIPARTS,small_cap,349.45,466.94,424.18,396.32,369.97,354.78,-19.951075239808812,-33.62262126198312,15.8,buy,buy,buy,probability to fall more
24,UGROCAP,small_cap,189.1,249.36,236.78,227.51,210.29,199.94,-22.669533083653633,-31.865547329455296,13.53,buy,buy,buy,probability to fall more
82,MOLDTECH,small_cap,170.83,225.01,209.08,198.03,182.21,176.62,-20.046892662808506,-31.71767253995193,18.61,buy,buy,buy,probability to fall more
27,YATRA,small_cap,95.37,124.04,113.8,107.54,101.58,97.41,-18.788092561733478,-30.057670126874292,83.25,buy,buy,buy,probability to fall more
84,ORIENTBELL,small_cap,271.3,352.78,324.63,311.29,291.14,277.28,-18.839416092648147,-30.032620715075602,86.88,buy,buy,buy,probability to fall more
34,SHRIRAMPPS,small_cap,86.25,111.93,108.58,102.27,94.05,89.8,-22.29924557745694,-29.773971014492695,22.8,buy,buy,buy,probability to fall more
25,MUFIN,small_cap,89.9,115.62,109.29,107.02,96.62,93.34,-22.230058915846225,-28.6059510567297,78.14,buy,buy,buy,probability to fall more
6,LANDMARK,small_cap,503.95,644.64,619.84,612.14,562.23,523.08,-21.495080358570558,-27.917055263418955,0.0,buy,buy,buy,probability to fall more
69,ACL,small_cap,69.24,88.28,82.97,79.54,73.93,71.61,-18.505594724379527,-27.498050259965336,0.0,buy,buy,buy,probability to fall more
66,TREL,small_cap,34.01,42.89,39.52,38.21,36.07,35.03,-16.60000455676313,-26.11349603057922,30.15,buy,buy,buy,probability to fall more
87,SHREYANIND,small_cap,200.77,251.75,238.74,229.54,214.74,207.72,-17.2416857912974,-25.389799272799674,4.79,buy,buy,buy,probability to fall more
71,RADIANTCMS,small_cap,64.22,79.31,76.07,74.15,70.84,67.87,-17.586066156441294,-23.495017128620297,16.21,buy,buy,buy,probability to fall more
91,INDBANK,small_cap,38.14,47.05,44.61,44.2,40.25,38.69,-16.432319452858206,-23.363266911379075,19.4,buy,buy,buy,probability to fall more
62,KOPRAN,small_cap,220.2,270.87,289.62,298.35,272.2,244.57,-29.216213955433474,-23.012170753860126,16.82,buy,buy,buy,probability to fall more
89,MURUDCERA,small_cap,42.62,52.38,51.38,49.34,44.85,42.97,-17.67537652723428,-22.895471609572915,35.33,buy,buy,buy,probability to fall more
16,GANDHAR,small_cap,175.09,213.51,213.64,209.44,188.26,178.93,-19.291154821850558,-21.94554229253529,15.44,buy,buy,buy,probability to fall more
86,STARPAPER,small_cap,186.13,226.83,211.67,211.25,196.01,188.47,-14.218964668080677,-21.865631547842902,5.02,buy,buy,buy,probability to fall more
65,TFCILTD,small_cap,139.04,169.32,159.26,162.04,149.03,143.24,-16.102045014417296,-21.775604142692675,14.14,buy,buy,buy,probability to fall more
90,TOUCHWOOD,small_cap,119.89,145.72,145.47,141.4,131.3,122.44,-18.49633277218903,-21.548669613812603,44.32,buy,buy,buy,probability to fall more
32,ACCELYA,small_cap,1395.5,1664.76,1592.43,1518.52,1480.01,1470.52,-12.734805310094075,-19.29521676818345,22.29,buy,buy,buy,probability to fall more
37,BFINVEST,small_cap,531.3,631.65,661.27,650.12,566.49,545.38,-20.02751423477264,-18.886881234707346,0.0,buy,buy,buy,probability to fall more
41,GNA,small_cap,349.7,413.21,412.1,404.32,385.5,370.26,-15.993852984738357,-18.16228195596236,16.22,buy,buy,buy,probability to fall more
39,EXPLEOSOL,small_cap,1202.4,1300.57,1311.85,1350.61,1265.54,1227.65,-9.24633130001978,-8.164608283433179,17.11,buy,buy,buy,probability to fall more
